,y,y.1
0,50,1089
1,49,1042
2,89,1005
3,147,954
4,223,883
5,322,790
6,437,683
7,566,567
8,691,464
9,817,361
10,932,277
11,1032,196
12,1115,138
13,1196,87
14,1250,68
15,1287,63
16,1334,45
17,1369,37
18,1394,36
19,1419,48
20,1458,45
21,1493,40
22,1524,44
23,1559,48
24,1593,47
25,1632,48
26,1668,52
27,1708,42
28,1734,45
29,1772,30
30,1799,36
31,1825,44
32,1860,36
33,1890,28
34,1913,32
35,1939,39
36,1970,33
37,2000,44
38,2039,36
39,2066,39
40,2100,41
41,2134,34
42,2162,42
43,2202,35
44,2232,37
45,2261,39
46,2295,36
47,2325,42
48,2359,44
49,2400,37
50,2385,51
51,2427,45
52,2426,48
53,2411,45
54,2370,24
55,2295,37
56,2211,42
57,2120,30
58,2020,41
59,1930,34
60,1846,33
61,1775,40
62,1725,38
63,1669,45
64,1647,49
65,1649,49
66,1641,52
67,1641,48
68,1654,42
69,1666,49
70,1671,36
71,1663,33
72,1659,44
73,1660,35
74,1654,39
75,1646,37
76,1635,53
77,1635,39
78,1635,48
79,1631,41
80,1639,42
81,1648,36
82,1640,38
83,1640,50
84,1656,39
85,1656,43
86,1657,37
87,1656,41
88,1651,38
89,1651,43
90,1648,38
91,1642,40
92,1646,40
93,1640,34
94,1638,39
95,1641,49
96,1641,40
97,1640,45
98,1643,44
99,1636,38
100,1630,32
101,1613,49
102,1607,49
103,1600,41
104,1598,39
105,1608,39
106,1607,26
107,1587,45
108,1593,47
109,1589,49
110,1590,48
111,1594,47
112,1599,47
113,1612,52
114,1622,36
115,1611,40
116,1600,43
117,1598,39
118,1591,42
119,1586,38
120,1570,36
121,1568,41
122,1574,37
123,1563,45
124,1572,41
125,1574,41
126,1586,37
127,1570,47
128,1582,34
129,1575,45
130,1571,41
131,1567,42
132,1575,47
133,1580,46
134,1576,41
135,1575,60
136,1586,47
137,1591,48
138,1595,50
139,1601,46
140,1609,45
141,1616,40
142,1616,40
143,1617,36
144,1616,36
145,1608,45
146,1608,52
147,1616,52
148,1618,36
149,1615,40
150,1619,44
151,1629,49
152,1636,44
153,1632,45
154,1632,45
155,1630,45
156,1639,32
157,1645,43
158,1645,46
159,1648,44
160,1654,51
161,1657,46
162,1654,40
163,1648,40
164,1641,27
165,1636,27
166,1630,37
167,1626,35
168,1620,46
169,1620,35
170,1610,49
171,1623,41
172,1620,44
173,1630,50
174,1632,46
175,1633,48
176,1631,46
177,1640,43
178,1636,44
179,1640,43
180,1645,48
181,1650,50
182,1651,33
183,1641,40
184,1636,38
185,1640,36
186,1630,36
187,1624,37
188,1615,45
189,1610,52
190,1614,30
191,1603,46
192,1605,54
193,1612,53
194,1628,44
195,1633,47
196,1641,32
197,1630,39
198,1626,36
199,1624,43
200,1624,41
201,1618,52
202,1620,46
203,1620,51
204,1624,46
205,1628,46
206,1625,48
207,1635,53
208,1646,47
209,1641,59
210,1652,48
211,1654,44
212,1651,68
213,1672,40
214,1666,41
215,1675,41
216,1686,42
217,1692,37
218,1696,35
219,1684,44
220,1704,41
221,1698,43
222,1699,53
223,1703,45
224,1695,50
225,1698,46
226,1697,46
227,1698,46
228,1704,35
229,1701,32
230,1690,47
231,1689,45
232,1689,48
233,1703,42
234,1705,47
235,1707,46
236,1706,46
237,1716,35
238,1717,41
239,1714,48
240,1713,37
