,y,y.1
0,50,1089
1,49,1044
2,49,999
3,49,965
4,49,936
5,49,907
6,56,884
7,72,867
8,86,846
9,105,818
10,113,777
11,129,741
12,148,699
13,164,656
14,183,608
15,202,562
16,215,524
17,236,473
18,249,447
19,264,410
20,268,384
21,282,368
22,292,333
23,301,307
24,308,287
25,314,260
26,320,248
27,325,225
28,328,209
29,334,192
30,327,191
31,330,179
32,331,185
33,333,183
34,336,175
35,344,155
36,342,147
37,338,150
38,331,159
39,332,154
40,335,151
41,332,143
42,337,140
43,338,148
44,342,139
45,335,124
46,334,124
47,335,115
48,341,109
49,338,103
50,323,127
51,319,123
52,316,133
53,319,136
54,318,134
55,317,137
56,320,148
57,321,135
58,320,133
59,317,132
60,319,129
61,321,141
62,324,129
63,321,137
64,317,143
65,315,146
66,317,134
67,316,132
68,315,137
69,312,138
70,307,145
71,305,144
72,308,150
73,311,141
74,309,148
75,313,144
76,313,137
77,313,139
78,313,147
79,315,153
80,310,157
81,303,160
82,301,163
83,299,167
84,300,164
85,296,167
86,301,161
87,297,155
88,300,155
89,303,151
90,300,156
91,298,137
92,300,121
93,300,122
94,303,126
95,299,130
96,299,139
97,296,144
98,296,140
99,299,146
100,297,148
101,298,143
102,299,142
103,295,137
104,296,139
105,293,128
106,290,134
107,291,145
108,289,139
109,284,138
110,286,149
111,290,158
112,289,146
113,286,150
114,289,150
115,289,137
116,290,140
117,288,144
118,287,148
119,287,144
120,292,139
121,289,134
122,289,139
123,288,141
124,284,137
125,283,137
126,279,137
127,279,146
128,273,153
129,273,167
130,270,170
131,272,166
132,266,167
133,265,164
134,266,171
135,266,178
136,269,185
137,270,190
138,272,178
139,266,195
140,265,190
141,270,180
142,269,169
143,269,163
144,269,166
145,276,161
146,286,141
147,279,147
148,278,156
149,276,146
150,274,148
151,269,157
152,274,145
153,276,142
154,276,139
155,276,152
156,278,151
157,277,149
158,279,145
159,286,148
160,289,155
161,296,151
162,290,135
163,291,134
164,289,135
165,288,133
166,280,139
167,280,137
168,284,142
169,288,153
170,285,151
171,286,154
172,284,163
173,286,158
174,293,156
175,297,157
176,296,135
177,294,131
178,291,132
179,295,135
180,292,144
181,294,134
182,297,134
183,290,142
184,284,149
185,284,147
186,283,151
187,282,148
188,281,142
189,286,124
190,286,133
191,282,124
