,y,y.1
0,50,1089
1,98,1041
2,177,969
3,313,878
4,506,756
5,755,626
6,1048,463
7,1382,326
8,1681,222
9,1963,120
10,2198,73
11,2360,56
12,2482,36
13,2576,39
14,2653,34
15,2725,30
16,2785,38
17,2850,43
18,2927,40
19,3001,36
20,3066,37
21,3134,31
22,3201,34
23,3263,30
24,3321,37
25,3384,35
26,3455,32
27,3521,36
28,3583,33
29,3648,41
30,3721,43
31,3803,40
32,3885,37
33,3957,37
34,4027,40
35,4101,37
36,4175,27
37,4238,33
38,4298,48
39,4377,22
40,4444,31
41,4497,28
42,4553,29
43,4607,33
44,4668,32
45,4733,29
46,4795,34
47,4856,37
48,4923,32
49,4992,25
50,5003,38
51,5013,37
52,5006,30
53,4939,27
54,4802,41
55,4625,32
56,4404,27
57,4124,34
58,3884,30
59,3665,28
60,3484,38
61,3386,32
62,3334,35
63,3300,38
64,3293,33
65,3289,34
66,3292,26
67,3284,34
68,3264,38
69,3258,23
70,3251,43
71,3245,34
72,3251,35
73,3253,35
74,3261,36
75,3268,32
76,3261,38
77,3260,37
78,3270,44
79,3284,38
80,3289,43
81,3285,30
82,3273,38
83,3266,30
84,3260,36
85,3249,32
86,3241,33
87,3242,30
88,3242,26
89,3218,32
90,3209,38
91,3221,39
92,3239,47
93,3274,31
94,3286,34
95,3282,27
96,3280,41
97,3287,36
98,3295,27
99,3287,38
100,3288,30
101,3292,39
102,3282,34
103,3281,30
104,3287,23
105,3269,31
106,3248,40
107,3264,44
108,3280,36
109,3290,43
110,3311,41
111,3328,30
112,3326,37
113,3328,40
114,3334,28
115,3330,28
116,3317,46
117,3328,40
118,3352,39
119,3362,35
120,3377,38
121,3381,32
122,3376,30
123,3374,20
124,3354,34
125,3334,38
126,3341,30
127,3343,34
128,3335,43
129,3330,30
130,3323,31
131,3299,30
132,3285,27
133,3275,32
134,3267,29
135,3261,26
136,3245,36
137,3240,36
138,3247,26
139,3254,24
140,3243,37
141,3233,35
142,3226,36
143,3205,29
144,3197,38
145,3200,42
146,3212,35
147,3216,34
148,3206,29
149,3202,32
150,3198,37
151,3201,31
152,3203,38
153,3198,32
154,3201,32
155,3210,42
156,3225,33
157,3223,29
158,3204,43
159,3202,26
160,3192,26
161,3160,32
162,3148,25
163,3142,32
164,3119,36
165,3116,32
166,3131,31
167,3125,37
168,3110,42
169,3107,27
170,3100,24
171,3086,27
172,3067,36
173,3064,32
174,3078,27
175,3082,33
176,3070,31
177,3066,29
178,3057,37
179,3049,33
180,3048,34
181,3053,29
182,3054,36
183,3059,50
184,3086,38
185,3113,40
186,3132,23
187,3129,37
188,3120,42
189,3133,39
190,3161,39
191,3180,20
192,3169,40
193,3155,28
194,3154,28
195,3145,29
196,3128,33
197,3112,33
198,3109,37
199,3120,34
200,3129,34
201,3125,38
202,3125,34
203,3128,39
204,3134,37
205,3145,38
206,3152,42
207,3157,43
208,3179,34
209,3175,35
210,3175,31
211,3190,38
212,3202,17
213,3197,37
214,3194,33
215,3195,39
216,3194,32
217,3200,36
218,3198,35
219,3191,37
220,3192,39
221,3212,26
222,3226,36
223,3228,34
224,3236,36
225,3248,32
226,3256,35
227,3259,44
228,3282,39
229,3297,21
230,3285,32
231,3277,37
232,3284,29
233,3286,33
234,3260,37
235,3242,31
236,3238,41
237,3252,29
238,3263,49
239,3261,31
240,3260,46
241,3259,31
242,3275,30
243,3278,34
244,3276,31
245,3283,31
246,3290,32
247,3294,34
248,3293,32
249,3286,38
250,3285,33
251,3293,42
252,3301,28
253,3298,35
254,3288,25
255,3272,26
256,3248,38
257,3234,32
258,3220,31
259,3211,43
260,3213,28
261,3218,42
262,3217,24
263,3227,29
264,3228,32
265,3223,36
266,3224,24
267,3218,36
268,3212,40
269,3214,41
270,3222,49
271,3235,24
272,3244,35
273,3240,36
274,3241,40
275,3246,37
276,3254,23
277,3246,25
278,3216,43
279,3198,38
280,3214,34
281,3233,36
282,3237,27
283,3233,40
284,3240,41
285,3253,29
286,3254,26
287,3234,46
288,3237,23
289,3231,41
290,3221,32
291,3217,33
292,3206,34
293,3210,30
294,3205,44
295,3214,40
296,3235,36
297,3247,28
298,3247,29
299,3239,43
300,3241,35
301,3244,38
302,3240,39
303,3249,35
304,3258,31
305,3265,34
306,3276,31
307,3278,33
308,3275,31
309,3274,46
310,3281,31
311,3283,38
312,3279,33
313,3286,36
314,3302,40
315,3319,42
316,3333,33
317,3343,32
318,3349,24
319,3334,28
320,3309,30
321,3281,37
322,3272,34
323,3284,37
324,3286,38
325,3288,33
326,3278,43
327,3291,30
328,3312,32
329,3305,40
330,3295,35
331,3292,33
332,3286,34
333,3290,38
334,3295,44
335,3289,38
336,3304,31
337,3320,33
338,3312,32
339,3309,34
340,3309,25
341,3292,35
342,3289,37
343,3294,31
344,3299,39
345,3291,30
346,3273,29
347,3253,30
348,3250,43
349,3266,33
350,3269,25
351,3250,34
352,3243,39
353,3242,26
354,3234,41
355,3233,37
356,3243,36
357,3251,38
358,3263,30
359,3273,35
360,3263,34
361,3256,42
362,3265,33
363,3267,47
364,3279,37
365,3286,29
366,3270,36
367,3260,43
368,3265,34
369,3283,43
370,3306,35
371,3323,41
372,3331,38
373,3336,36
374,3337,36
375,3336,35
376,3338,28
377,3324,39
378,3322,34
379,3336,27
380,3331,37
381,3328,33
382,3333,38
383,3340,39
384,3341,34
385,3335,29
386,3315,29
387,3306,34
388,3298,44
389,3309,38
390,3321,33
391,3341,34
392,3345,45
393,3350,45
394,3371,35
395,3386,40
396,3393,23
397,3403,31
398,3401,38
399,3399,22
400,3389,37
401,3392,42
402,3406,33
403,3404,36
404,3405,28
405,3403,26
406,3386,31
407,3374,35
408,3365,27
409,3358,34
410,3352,19
411,3338,35
412,3317,38
413,3318,35
414,3310,28
415,3292,30
416,3281,33
417,3278,29
418,3266,35
419,3251,36
420,3245,32
421,3235,24
422,3220,23
423,3190,43
424,3179,39
425,3188,30
426,3187,41
427,3198,29
428,3200,31
429,3185,30
430,3181,35
431,3172,49
432,3181,28
433,3183,30
434,3162,38
