,y,y.1
0,50,1089
1,49,1044
2,49,1005
3,49,966
4,49,935
5,49,915
6,49,888
7,49,867
8,49,848
9,49,834
10,49,813
11,49,789
12,51,772
13,53,760
14,59,743
15,65,728
16,70,710
17,75,701
18,80,682
19,87,661
20,91,648
21,98,638
22,103,627
23,114,608
24,120,591
25,127,573
26,135,550
27,141,542
28,147,515
29,153,494
30,150,475
31,150,473
32,155,460
33,156,440
34,164,434
35,172,420
36,182,399
37,188,375
38,196,362
39,201,348
40,201,329
41,208,311
42,211,293
43,213,293
44,213,275
45,212,276
46,218,276
47,221,264
48,226,258
49,231,244
50,228,227
51,233,209
52,235,225
53,239,223
54,242,218
55,247,216
56,250,208
57,253,199
58,255,188
59,253,197
60,252,194
61,251,201
62,253,187
63,256,191
64,254,186
65,251,191
66,254,185
67,256,183
68,256,171
69,254,171
70,251,165
71,250,159
72,251,163
73,249,167
74,249,164
75,252,161
76,251,157
77,248,150
78,249,139
79,249,147
80,253,151
81,253,151
82,253,150
83,255,144
84,258,148
85,256,159
86,252,170
87,250,167
88,250,162
89,251,156
90,251,156
91,253,152
92,251,154
93,253,160
94,254,164
95,253,157
96,253,156
97,252,148
98,251,153
99,254,155
100,249,178
101,249,179
102,252,183
103,253,173
104,256,170
105,258,168
106,257,166
107,258,166
108,259,182
109,257,176
110,254,162
111,255,163
112,256,157
113,253,157
114,253,158
115,258,150
116,256,156
117,258,148
118,257,156
119,257,164
120,254,172
121,257,160
122,261,151
123,259,171
124,259,162
125,257,164
126,260,157
127,260,178
128,260,176
129,260,172
130,265,171
131,266,162
132,265,154
133,267,155
134,268,158
135,266,170
136,268,159
137,268,152
138,269,147
139,270,150
140,271,156
141,268,155
142,264,159
143,263,150
144,262,158
145,266,154
146,266,161
147,268,165
148,268,168
149,271,176
150,269,167
151,268,175
152,269,164
153,267,176
154,266,171
155,265,172
156,266,175
157,272,160
158,269,157
159,275,156
160,271,152
161,274,151
162,273,149
163,276,156
164,272,170
165,271,171
166,270,161
167,264,163
168,267,167
169,262,170
170,265,157
171,263,148
172,265,151
173,264,162
174,264,160
175,267,163
176,270,158
177,272,150
178,273,146
179,278,153
180,281,149
181,281,151
182,282,146
183,282,146
184,283,146
185,282,160
186,284,149
187,284,160
188,281,156
189,279,151
190,277,150
191,275,160
