,y,y.1
0,10,1089
1,10,1079
2,10,1071
3,10,1067
4,10,1063
5,10,1055
6,10,1050
7,13,1046
8,18,1039
9,21,1030
10,23,1021
11,28,1010
12,31,998
13,34,989
14,37,978
15,45,968
16,52,952
17,61,934
18,67,923
19,73,901
20,81,884
21,90,861
22,100,828
23,106,800
24,123,765
25,134,732
26,146,700
27,157,669
28,167,646
29,179,609
30,187,578
31,196,547
32,206,522
33,218,495
34,225,473
35,235,443
36,243,414
37,249,404
38,257,374
39,259,351
40,267,331
41,274,320
42,285,302
43,294,297
44,297,295
45,304,272
46,306,253
47,323,236
48,329,222
49,333,195
50,331,182
51,336,180
52,343,167
53,342,160
54,347,167
55,346,157
56,344,152
57,342,157
58,341,156
59,342,151
60,336,142
61,335,142
62,335,138
63,330,144
64,325,142
65,325,133
66,332,130
67,332,129
68,329,124
69,324,135
70,324,127
71,320,142
72,315,150
73,319,142
74,321,144
75,323,147
76,320,141
77,317,152
78,318,143
79,316,146
80,313,139
81,313,135
82,311,122
83,310,122
84,304,125
85,300,126
86,300,122
87,296,126
88,295,124
89,295,122
90,291,122
91,296,122
92,299,126
93,295,118
94,295,114
95,294,120
96,290,128
97,288,127
98,287,139
99,293,143
100,297,136
101,298,142
102,293,146
103,290,154
104,291,163
105,289,164
106,286,163
107,283,167
108,290,155
109,286,158
110,287,160
111,288,165
112,287,163
113,289,161
114,293,153
115,295,163
116,300,162
117,305,162
118,303,147
119,301,149
120,303,137
121,298,148
122,297,144
123,300,142
124,299,140
125,297,150
126,301,150
127,296,147
128,290,148
129,291,147
130,289,155
131,289,155
132,282,153
133,286,143
134,287,137
135,287,131
136,284,131
137,288,129
138,290,126
139,284,137
140,283,136
141,276,147
142,283,142
143,280,139
144,279,137
145,282,149
146,281,153
147,283,149
148,280,141
149,282,141
150,284,147
151,286,141
152,285,132
153,281,143
154,279,148
155,284,144
156,285,148
157,286,141
158,286,146
159,286,158
160,284,165
161,279,177
162,283,186
163,282,180
164,285,174
165,281,180
166,279,165
167,278,167
168,279,169
169,287,163
170,286,162
171,290,158
172,288,162
173,293,157
174,294,158
175,289,141
176,288,143
177,291,140
178,294,136
179,292,138
180,291,139
181,289,142
182,286,149
183,284,154
184,289,152
185,287,153
186,288,150
187,286,155
188,286,143
189,288,150
190,291,150
191,293,151
192,287,154
193,293,145
194,296,151
195,301,146
196,303,143
197,300,145
198,299,133
199,301,133
200,299,137
201,298,135
202,301,133
203,293,122
204,285,120
205,283,131
206,283,134
207,285,126
208,284,153
209,282,160
210,286,149
211,286,141
212,284,154
213,284,158
214,281,156
215,278,164
216,279,163
217,275,167
218,282,162
219,282,161
220,287,156
221,290,154
222,287,159
223,292,156
224,295,155
225,300,134
226,298,137
227,298,131
228,297,133
229,302,127
230,304,125
231,300,127
232,303,130
233,304,136
234,307,145
235,301,155
236,297,157
237,295,157
238,297,162
239,294,151
240,297,143
241,300,150
242,301,140
243,298,138
244,291,145
245,294,144
246,296,146
247,293,155
248,292,161
249,296,172
250,303,160
251,302,161
252,297,146
253,297,148
254,304,139
255,306,156
256,306,147
257,311,137
258,312,140
259,310,147
260,304,156
261,305,150
262,299,148
263,302,151
264,294,158
265,293,163
266,295,158
267,293,155
268,291,150
269,295,149
270,293,151
271,294,145
272,299,135
273,298,127
274,298,135
275,297,139
276,306,134
277,308,128
278,302,135
279,302,141
280,302,152
281,300,156
282,300,155
283,297,148
284,296,157
285,299,151
286,292,149
287,297,153
288,298,149
289,298,141
290,297,137
291,294,143
292,295,139
293,298,126
294,301,134
295,302,130
296,297,134
297,290,132
298,287,131
299,286,131
300,288,126
301,288,123
302,289,125
303,284,124
304,288,133
305,282,132
306,288,128
307,285,133
308,286,143
309,284,159
