,y,y.1
0,50,1089
1,49,1042
2,49,1002
3,49,970
4,49,941
5,49,916
6,59,894
7,75,868
8,91,840
9,106,807
10,115,773
11,131,729
12,144,698
13,163,673
14,181,639
15,200,587
16,215,539
17,231,492
18,251,450
19,263,415
20,268,376
21,278,339
22,288,329
23,294,297
24,299,282
25,304,269
26,314,253
27,323,228
28,332,200
29,341,186
30,334,167
31,343,168
32,343,167
33,343,159
34,346,140
35,347,143
36,349,144
37,346,143
38,346,145
39,338,145
40,331,154
41,328,154
42,327,144
43,328,133
44,329,141
45,330,141
46,329,141
47,331,129
48,320,139
49,324,136
50,323,144
51,323,142
52,324,135
53,328,144
54,326,137
55,325,138
56,323,143
57,317,143
58,315,144
59,315,143
60,316,150
61,320,143
62,319,148
63,321,138
64,325,145
65,327,156
66,327,167
67,330,158
68,331,163
69,327,158
70,321,144
71,317,154
72,322,153
73,321,150
74,313,146
75,320,146
76,323,150
77,313,149
78,313,163
79,317,154
80,315,155
81,317,142
82,309,143
83,311,135
84,312,131
85,314,134
86,314,144
87,314,137
88,316,138
89,314,130
90,308,129
91,302,128
92,300,130
93,301,129
94,300,144
95,301,149
96,292,156
97,288,158
98,286,141
99,283,148
100,286,146
101,286,137
102,283,142
103,282,154
104,283,155
105,283,147
106,283,142
107,288,139
108,281,148
109,282,152
110,279,146
111,284,144
112,286,154
113,285,142
114,281,147
115,278,160
116,282,158
117,282,150
118,284,146
119,289,153
120,291,152
121,298,135
122,298,152
123,295,151
124,297,147
125,305,143
126,305,138
127,312,136
128,312,139
129,311,145
130,312,144
131,312,154
132,312,155
133,310,156
134,309,158
135,302,159
136,302,145
137,303,137
138,300,138
139,301,149
140,299,163
141,300,157
142,304,150
143,300,148
144,300,149
145,298,157
146,294,149
147,291,147
148,289,148
149,290,149
150,286,162
151,284,157
152,287,150
153,290,155
154,295,155
155,289,155
156,292,153
157,299,157
158,300,160
159,302,155
160,299,166
161,297,146
162,296,146
163,302,135
164,304,144
165,301,142
166,295,144
167,291,149
168,292,160
169,296,157
170,297,154
171,298,155
172,298,153
173,297,142
174,299,143
175,297,146
176,294,148
177,295,145
178,297,148
179,300,148
180,296,154
181,300,156
182,298,148
183,293,136
184,296,155
185,297,162
186,301,165
187,303,163
188,303,165
189,296,174
190,300,176
191,298,176
192,299,171
193,305,174
194,307,171
195,304,163
196,309,165
197,307,166
198,307,159
199,305,153
200,302,149
201,300,152
202,301,141
203,301,133
204,300,136
205,307,129
206,306,142
207,307,130
208,304,137
209,301,137
210,300,136
211,299,124
212,302,120
213,297,127
214,296,139
215,293,137
216,289,147
217,285,160
218,291,154
219,290,164
220,294,166
221,295,154
222,294,160
223,293,168
224,295,159
225,296,143
226,300,152
227,297,149
228,299,137
229,299,145
230,296,149
231,291,149
232,291,142
233,288,146
234,288,138
235,290,133
236,285,147
237,286,141
238,284,139
239,282,136
240,282,144
241,281,141
242,276,154
243,277,155
244,275,151
245,274,150
246,279,157
247,278,157
248,281,146
249,282,158
250,286,146
251,286,134
252,289,139
253,290,144
254,295,148
255,296,147
256,299,138
257,299,157
258,296,161
259,292,167
260,288,166
261,290,161
262,289,174
263,284,181
264,278,169
265,279,160
266,281,155
267,278,145
268,280,149
269,279,155
270,274,155
271,273,158
272,278,154
273,278,157
274,280,155
275,282,153
276,283,155
277,278,159
278,280,171
279,281,175
